id;convenio;codigoconvenio;nomeconvenio;contato
1;transparent Intelligent;63450;deposit Engineer deposit;Shoes Afghani
2;quantifying Investor blue;30526;Account Plastic Rwanda;Metal value-added
3;Home azure;41213;Dynamic;Soap high-level
4;Pants;38750;Haven capacitor;payment
5;alarm digital Horizontal;85517;approach Berkshire;violet paradigms
6;Innovative;92861;Metal Tools Coordinator;Reunion Group Canada
7;azure;81078;quantifying;Identity Washington
8;Bike strategize software;75549;digital partnerships HTTP;success regional
9;purple;35154;best-of-breed;Hat
10;content-based;40138;Buckinghamshire;Global
